dose,Z,LET,tum,atRisk,Prev,SD,NWeight,Beam
40,1,0.4,4,43,0.0909,0.0433,532,250p1
60,1,0.4,3,37,0.081081081,0.044874281,496.5980392,
80,1,0.4,8,41,0.1951,0.0619,261,
160,1,0.4,13,43,0.3023,0.07,204,
320,1,0.4,7,24,0.2917,0.0928,116,
20,2,1.6,4,44,0.0909,0.0433,532,228He4
40,2,1.6,4,89,0.0449,0.022,2073,
60,2,1.6,12,105,0.1143,0.031,1037,
120,2,1.6,14,83,0.1687,0.0411,592,
240,2,1.6,25,72,0.3472,0.0561,318,
320,2,1.6,25,58,0.431,0.065,236,
510,2,1.6,44,66,0.6667,0.058,297,
700,2,1.6,33,53,0.6226,0.0666,226,
20,8,20,7,54,0.12962963,0.045709588,478.6139818,350O16
40,8,20,3,37,0.081081081,0.044874281,496.5980392,
80,8,20,7,33,0.212121212,0.071164726,197.456044,
5,10,25,7,64,0.1094,0.039,657,670Ne20
10,10,25,5,95,0.0526,0.0229,1905,
20,10,25,4,61,0.0656,0.0317,996,
40,10,25,12,94,0.1277,0.0344,844,
80,10,25,12,42,0.2857,0.0697,206,
4,14,70,13,141,0.0922,0.0244,1685,260Si28
8,14,70,16,122,0.1311,0.0306,1071,
16,14,70,12,97,0.1237,0.0334,895,
32,14,70,22,74,0.2973,0.0531,354,
40,14,70,4,7,0.571428571,0.187043906,28.58333333,
3,22,100,11,134,0.0821,0.0237,1778,1000Ti48
6.5,22,100,10,114,0.0877,0.0265,1425,
13,22,100,16,110,0.1455,0.0336,885,
26,22,100,13,55,0.2364,0.0573,305,
52,22,100,23,62,0.371,0.0613,266,
10,26,193,15,78,0.1923,0.0446,502,600Fe56
20,26,193,11,47,0.234,0.0618,262,
40,26,193,13,41,0.3171,0.0727,189,
5,26,193,24,154,0.1558,0.0292,1171,600Fe56
10,26,193,32,149,0.2148,0.0336,884,
15,26,193,19,82,0.2317,0.0466,461,
20,26,193,27,88,0.3068,0.0492,414,
40,26,193,27,83,0.3253,0.0514,378,
80,26,193,31,56,0.5536,0.0664,227,
160,26,193,48,74,0.6486,0.0555,325,
5,26,253,10,81,0.1235,0.0366,749,350Fe56
10,26,253,12,83,0.1446,0.0386,671,
20,26,253,12,58,0.2069,0.0532,353,
40,26,253,9,29,0.3103,0.0859,135,
10,41,464,13,71,0.1831,0.0459,475,600Nb93
20,41,464,9,54,0.1667,0.0507,389,
40,41,464,19,48,0.3958,0.0706,201,
80,41,464,15,28,0.5357,0.0942,113,
20,57,953,4,26,0.154,0.0704,202,593La139
40,57,953,5,39,0.132,0.0545,336,
80,57,953,5,15,0.333,0.1211,68,
